path,source_status,subsystem,include_or_exclude,reason,target_commit,validation
.codex-worktrees/canopyproof-jpg-logo-deploy/,untracked,X duplicate-linked-worktree,exclude,separate linked worktree duplicates repository-relative paths,EXCLUDED,path_and_boundary_reviewed
.codex-worktrees/canopyproof-svg-deploy/,untracked,X duplicate-linked-worktree,exclude,separate linked worktree duplicates repository-relative paths,EXCLUDED,path_and_boundary_reviewed
.DS_Store,tracked_modified,X generated-artifact,exclude,OS or tool-generated cache,EXCLUDED,path_and_boundary_reviewed
.github/workflows/canopyproof-ci.yml,untracked,I validation-coverage,include,non-deploying CanopyProof CI gate,PENDING_I_VALIDATION_COVERAGE,pending_clean_replay
.github/workflows/deploy-canopyproof.yml,tracked_modified,X deployment-or-legacy-workflow,exclude,"deployment, testnet, or legacy workflow is outside Phase R0",EXCLUDED,path_and_boundary_reviewed
.github/workflows/dual-deployment.yml,untracked,X deployment-or-legacy-workflow,exclude,"deployment, testnet, or legacy workflow is outside Phase R0",EXCLUDED,path_and_boundary_reviewed
.github/workflows/e2e-demo.yml,untracked,X deployment-or-legacy-workflow,exclude,"deployment, testnet, or legacy workflow is outside Phase R0",EXCLUDED,path_and_boundary_reviewed
.github/workflows/e2e-dual-track.yml,untracked,X deployment-or-legacy-workflow,exclude,"deployment, testnet, or legacy workflow is outside Phase R0",EXCLUDED,path_and_boundary_reviewed
canopyproof-spatial-grid-tree/,untracked,X duplicate-linked-worktree,exclude,separate linked worktree duplicates repository-relative paths,EXCLUDED,path_and_boundary_reviewed
dropin-earth/.DS_Store,untracked,X generated-artifact,exclude,OS or tool-generated cache,EXCLUDED,path_and_boundary_reviewed
dropin-earth/.env.example,tracked_modified,X secret-boundary,exclude,environment or private-key-bearing filename is excluded without reading,EXCLUDED,path_and_boundary_reviewed
dropin-earth/.env.phase16.example,untracked,X secret-boundary,exclude,environment or private-key-bearing filename is excluded without reading,EXCLUDED,path_and_boundary_reviewed
dropin-earth/.github/workflows/atomic-workflow-monitor.yml,untracked,X deployment-or-legacy-workflow,exclude,nested deployment and production workflows are outside Phase R0,EXCLUDED,path_and_boundary_reviewed
